"TIPO_INDICE";"CO_ANO";"CO_MES";"CO_COMMODITIES";"INDICE";"TIPO";"TIPO_MOEDA";"NO_COMMODITIES";"NO_TIPO_CLASSIFICACAO";"NO_CLASSIFICACAO_MIN"
"QUANTUM";"2025";"4";"COMMODITIES_CO_GRUPO_2";"88,40251174625655";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2025";"4";"COMMODITIES_CO_GRUPO_3";"215,51599026234283";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2025";"4";"COMMODITIES_CO_GRUPO_1";"171,68512656489327";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2025";"4";"COMMODITIES_TOTAL_1";"156,58480615133789";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2025";"3";"COMMODITIES_CO_GRUPO_4";"130,57933801159814";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2025";"3";"COMMODITIES_CO_GRUPO_2";"127,98341498941591";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2025";"3";"COMMODITIES_CO_GRUPO_3";"187,29394933684418";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2025";"3";"COMMODITIES_CO_GRUPO_1";"174,96670511502387";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2025";"3";"COMMODITIES_TOTAL_1";"160,15836686078609";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2025";"3";"COMMODITIES_CO_GRUPO_4";"191,95087075550791";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2025";"3";"COMMODITIES_CO_GRUPO_2";"209,36595772781135";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2025";"3";"COMMODITIES_CO_GRUPO_3";"141,12423681079161";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2025";"3";"COMMODITIES_CO_GRUPO_1";"267,01174784531628";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2025";"3";"COMMODITIES_TOTAL_1";"209,34264548779583";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2025";"3";"COMMODITIES_CO_GRUPO_4";"139,59346142019479";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2025";"3";"COMMODITIES_CO_GRUPO_2";"130,24227326004399";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2025";"3";"COMMODITIES_CO_GRUPO_3";"193,28697319363650";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2025";"3";"COMMODITIES_CO_GRUPO_1";"174,09454863702862";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2025";"3";"COMMODITIES_TOTAL_1";"167,78112310220141";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2025";"3";"COMMODITIES_CO_GRUPO_4";"278,65610131144905";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2025";"3";"COMMODITIES_CO_GRUPO_2";"219,77419013933860";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2025";"3";"COMMODITIES_CO_GRUPO_3";"136,57723110686516";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2025";"3";"COMMODITIES_CO_GRUPO_1";"273,92613493588090";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2025";"3";"COMMODITIES_TOTAL_1";"231,46084026989308";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2025";"3";"COMMODITIES_CO_GRUPO_4";"128,56849931318555";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2025";"3";"COMMODITIES_CO_GRUPO_2";"126,39087367437141";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2025";"3";"COMMODITIES_CO_GRUPO_3";"148,52177661869891";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2025";"3";"COMMODITIES_CO_GRUPO_1";"195,95524062512709";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2025";"3";"COMMODITIES_TOTAL_1";"142,80859511442114";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2025";"3";"COMMODITIES_CO_GRUPO_4";"119,91782831779861";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2025";"3";"COMMODITIES_CO_GRUPO_2";"74,32538934886145";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2025";"3";"COMMODITIES_CO_GRUPO_3";"179,48735299677762";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2025";"3";"COMMODITIES_CO_GRUPO_1";"184,46279029983933";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2025";"3";"COMMODITIES_TOTAL_1";"143,98694793795192";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2025";"2";"COMMODITIES_CO_GRUPO_4";"133,17159180203504";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2025";"2";"COMMODITIES_CO_GRUPO_2";"129,10601117203521";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2025";"2";"COMMODITIES_CO_GRUPO_3";"183,86820117462267";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2025";"2";"COMMODITIES_CO_GRUPO_1";"176,69669527658905";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2025";"2";"COMMODITIES_TOTAL_1";"161,01338415878666";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2025";"2";"COMMODITIES_CO_GRUPO_4";"167,88806976395901";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2025";"2";"COMMODITIES_CO_GRUPO_2";"184,14119891594339";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2025";"2";"COMMODITIES_CO_GRUPO_3";"126,54647374550807";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2025";"2";"COMMODITIES_CO_GRUPO_1";"189,10687683922663";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2025";"2";"COMMODITIES_TOTAL_1";"166,38523713452142";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2025";"2";"COMMODITIES_CO_GRUPO_4";"141,84661038355210";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2025";"2";"COMMODITIES_CO_GRUPO_2";"131,64761387381174";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2025";"2";"COMMODITIES_CO_GRUPO_3";"188,51314726490608";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2025";"2";"COMMODITIES_CO_GRUPO_1";"175,96419137585880";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2025";"2";"COMMODITIES_TOTAL_1";"168,48886328254167";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2025";"2";"COMMODITIES_CO_GRUPO_4";"229,44662013830870";"EXP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2025";"2";"COMMODITIES_CO_GRUPO_2";"191,38405824426084";"EXP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2025";"2";"COMMODITIES_CO_GRUPO_3";"119,54097309428478";"EXP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2025";"2";"COMMODITIES_CO_GRUPO_1";"188,41316027190123";"EXP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2025";"2";"COMMODITIES_TOTAL_1";"175,58509992437067";"EXP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2025";"2";"COMMODITIES_CO_GRUPO_4";"132,95150762179495";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2025";"2";"COMMODITIES_CO_GRUPO_2";"124,85670416055832";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2025";"2";"COMMODITIES_CO_GRUPO_3";"148,03391192493760";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2025";"2";"COMMODITIES_CO_GRUPO_1";"192,93130436000172";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2025";"2";"COMMODITIES_TOTAL_1";"144,43217611469078";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2025";"2";"COMMODITIES_CO_GRUPO_4";"111,59704619240696";"IMP";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2025";"2";"COMMODITIES_CO_GRUPO_2";"80,67005529594572";"IMP";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2025";"2";"COMMODITIES_CO_GRUPO_3";"171,72143598075829";"IMP";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2025";"2";"COMMODITIES_CO_GRUPO_1";"179,15721107213713";"IMP";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2025";"2";"COMMODITIES_TOTAL_1";"136,66664100299056";"IMP";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"PRECO";"2025";"1";"COMMODITIES_CO_GRUPO_4";"132,39714001258028";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"PRECO";"2025";"1";"COMMODITIES_CO_GRUPO_2";"135,73131409301521";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"PRECO";"2025";"1";"COMMODITIES_CO_GRUPO_3";"188,17533415007728";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"PRECO";"2025";"1";"COMMODITIES_CO_GRUPO_1";"178,83726003581546";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"PRECO";"2025";"1";"COMMODITIES_TOTAL_1";"162,26554195759121";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
"QUANTUM";"2025";"1";"COMMODITIES_CO_GRUPO_4";"259,99711238544791";"CORRENTE";"USD";"Combustíveis";"COMMODITIES";"Combustíveis"
"QUANTUM";"2025";"1";"COMMODITIES_CO_GRUPO_2";"263,59784576285114";"CORRENTE";"USD";"Matérias-Primas Agrícolas";"COMMODITIES";"Matérias-Primas Agrícolas"
"QUANTUM";"2025";"1";"COMMODITIES_CO_GRUPO_3";"148,59242837006818";"CORRENTE";"USD";"Minerais, Minérios E Metais";"COMMODITIES";"Minerais, Minérios e Metais"
"QUANTUM";"2025";"1";"COMMODITIES_CO_GRUPO_1";"166,12965853429483";"CORRENTE";"USD";"Todos Alimentos";"COMMODITIES";"Todos Alimentos"
"QUANTUM";"2025";"1";"COMMODITIES_TOTAL_1";"192,73499152372941";"CORRENTE";"USD";"Total Commodities";"COMMODITIES";"Total Commodities"
